career,age,year,month_income,year_income,month_investment,year_investment,rate_of_return_income,special_event
2,28,2022,2575000,30900000,1610079,19320948,30924906,
3,29,2023,2652250,31827000,1687329,20247948,56543226,2300000
4,30,2024,2731817.5,32781810,1766897,21202758,62410743,-20000000
5,31,2025,2813772.025,33765264.3,1408851,16906212,84075972,
6,32,2026,2898185.186,34778222.23,1493264,17919170,108114851,
7,33,2027,2985130.741,35821568.9,1580210,18962517,134702010,
8,34,2028,3074684.664,36896215.96,1669764,20037164,114023524,-50000000
9,35,2029,3166925.203,38003102.44,922004,11064050,132592829,
10,36,2030,3261932.96,39143195.51,1017012,12204144,153484791,
11,37,2031,3359790.948,40317491.38,1114870,13378439,8525024,-168350000
12,38,2032,3460584.677,41527016.12,1215664,14587964,24499768,
13,39,2033,3564402.217,42772826.61,1319481,15833775,42753555,
14,40,2034,3671334.284,44056011.4,1426413,17116959,63462745,
15,41,2035,3781474.312,45377691.75,1536553,18438640,86815468,
16,42,2036,3894918.542,46739022.5,1649998,19799970,113012365,
17,43,2037,4011766.098,48141193.17,1766845,21202141,142267377,
18,44,2038,4132119.081,49585428.97,1757198,21086377,173154979,
19,45,2039,4256082.653,51072991.84,1881162,22573940,207472654,
20,46,2040,4383765.133,52605181.59,2008844,24106130,245473510,
21,47,2041,4515278.087,54183337.04,2140357,25684285,99077263,-188350000
22,48,2042,4650736.429,55808837.15,2275815,27309785,133970271,
23,49,2043,4790258.522,57483102.27,2415338,28984050,172731581,
24,50,2044,4933966.278,59207595.33,2559045,30708543,215646531,
25,51,2045,5081985.266,60983823.19,2707064,32484771,263019181,
26,52,2046,5234444.824,62813337.89,2859524,34314286,315173475,
27,53,2047,5391478.169,64697738.03,3016557,36198686,372454490,
28,54,2048,5553222.514,66638670.17,4418302,53019618,451002555,
29,55,2049,5719819.189,68637830.27,4584898,55018778,536382613,
